recipe_id,user_id,cost,taste,easeOfPrep,review
36,4,5,5,3,whiteboard strategic niches
37,4,3,3,0,extend 24/365 partnerships
38,4,1,0,0,leverage collaborative channels
39,4,0,4,3,seize bleeding-edge convergence
40,4,5,4,5,cultivate strategic models
41,4,2,5,5,monetize innovative systems
42,4,3,0,5,innovate strategic channels
43,4,1,4,2,cultivate killer synergies
44,4,2,1,5,exploit plug-and-play applications
45,4,4,4,1,innovate bricks-and-clicks communities
46,4,4,5,5,scale efficient paradigms
47,4,3,3,0,utilize user-centric infrastructures
48,4,3,1,2,transform plug-and-play technologies
49,4,4,3,2,reintermediate best-of-breed synergies
50,4,5,2,3,expedite vertical synergies
51,4,3,3,0,syndicate dynamic schemas
52,4,0,2,1,integrate wireless technologies
53,4,3,5,2,extend next-generation users
54,4,0,2,3,deliver intuitive bandwidth
55,4,2,2,4,iterate enterprise synergies
56,4,4,3,4,generate viral solutions
57,4,0,0,5,optimize clicks-and-mortar communities
58,4,0,3,3,harness innovative e-markets
59,4,1,4,4,revolutionize intuitive experiences
60,4,4,0,0,iterate cutting-edge convergence
61,4,0,2,1,facilitate compelling interfaces
62,4,2,0,2,orchestrate magnetic content
63,4,5,0,4,aggregate revolutionary channels
64,4,1,3,1,whiteboard e-business partnerships
65,4,5,4,3,engineer transparent communities
66,4,1,2,4,benchmark web-enabled applications
67,4,3,5,3,productize customized networks
68,4,1,5,0,innovate bleeding-edge users
69,4,2,2,3,disintermediate 24/7 communities
70,4,4,3,0,reinvent synergistic eyeballs
71,4,3,1,5,orchestrate one-to-one e-tailers
72,4,4,1,2,morph collaborative communities
73,4,5,2,2,streamline B2C architectures
74,4,0,4,2,transform synergistic systems
75,4,3,5,3,aggregate global convergence
76,4,1,5,0,streamline wireless ROI
77,4,3,5,4,transition intuitive platforms
78,4,5,0,0,repurpose cutting-edge web services
79,4,1,5,4,synergize turn-key applications
80,4,5,3,2,transition B2C architectures
1,5,3,4,2,e-enable 24/7 users
2,5,3,4,3,redefine real-time functionalities
3,5,3,3,4,harness turn-key communities
4,5,5,2,2,strategize world-class web services
5,5,2,1,3,deploy wireless relationships
6,5,4,5,0,strategize magnetic convergence
7,5,2,5,5,optimize value-added channels
8,5,5,3,4,e-enable transparent eyeballs
9,5,3,2,2,enable impactful methodologies
10,5,5,3,0,benchmark extensible metrics
11,5,3,3,0,transform granular partnerships
12,5,5,3,3,morph next-generation synergies
13,5,0,3,0,disintermediate robust e-commerce
14,5,4,3,1,architect world-class architectures
15,5,3,2,0,target value-added channels
16,5,0,4,2,evolve frictionless models
17,5,5,0,3,deploy cutting-edge bandwidth
18,5,5,0,5,transform scalable applications
19,5,2,5,5,generate strategic partnerships
20,5,0,2,2,incubate efficient supply-chains
21,5,5,2,5,streamline web-enabled web services
22,5,0,1,5,drive granular synergies
23,5,4,1,5,disintermediate sticky solutions
24,5,2,0,3,target world-class schemas
25,5,1,1,0,mesh bleeding-edge channels
26,5,3,5,5,leverage plug-and-play architectures
27,5,4,0,2,leverage end-to-end portals
28,5,2,3,2,grow efficient e-tailers
29,5,3,2,5,exploit enterprise deliverables
30,5,0,0,4,harness proactive metrics
31,5,4,5,2,redefine sexy deliverables
32,5,0,1,3,transform vertical experiences
33,5,0,2,5,maximize rich models
34,5,4,1,3,incubate distributed schemas
35,5,0,2,4,recontextualize frictionless mindshare
36,5,2,0,4,streamline extensible portals
37,5,3,0,5,seize extensible mindshare
38,5,1,3,2,optimize intuitive e-commerce
39,5,3,5,3,utilize granular networks
40,5,3,5,5,engage interactive paradigms
41,5,4,1,3,redefine frictionless metrics
42,5,1,5,3,brand mission-critical markets
43,5,0,1,2,incentivize world-class experiences
44,5,5,1,3,unleash rich e-business
45,5,2,5,4,unleash wireless methodologies
46,5,2,2,1,visualize interactive relationships
47,5,5,1,3,generate killer e-services
48,5,3,2,0,incentivize open-source networks
49,5,1,3,1,maximize sexy partnerships
50,5,3,1,5,strategize synergistic initiatives
51,5,2,2,0,target end-to-end channels
52,5,0,4,1,empower enterprise deliverables
53,5,4,4,3,seize end-to-end convergence
54,5,4,1,2,reinvent dynamic initiatives
55,5,4,4,1,incubate sexy mindshare
56,5,5,4,1,morph killer relationships
57,5,5,4,5,seize out-of-the-box web-readiness
58,5,5,4,1,deploy out-of-the-box niches
59,5,0,1,5,empower one-to-one markets
60,5,5,3,2,innovate user-centric interfaces
61,5,0,2,2,cultivate next-generation applications
62,5,4,5,5,mesh end-to-end paradigms
63,5,2,4,5,repurpose 24/365 portals
64,5,5,5,0,mesh user-centric partnerships
65,5,4,0,2,unleash strategic partnerships
66,5,5,0,1,engage mission-critical communities
67,5,5,5,5,matrix e-business markets
68,5,2,5,5,productize bleeding-edge synergies
69,5,3,3,3,repurpose scalable content
70,5,2,1,4,streamline customized niches
71,5,0,0,3,synthesize open-source vortals
72,5,0,2,2,embrace rich paradigms
73,5,5,4,0,reintermediate efficient supply-chains
74,5,1,4,5,deploy ubiquitous e-services
75,5,0,5,3,expedite front-end interfaces
76,5,3,0,1,cultivate wireless ROI
77,5,3,0,2,deploy bleeding-edge initiatives
78,5,0,3,1,benchmark strategic web services
79,5,4,1,1,enhance visionary applications
80,5,2,4,1,cultivate end-to-end applications
